ESTU_CONSECUTIVO;ESTU_GENERO;ESTU_CODIGO_RESIDE_MCPIO;ESTU_RESIDE_MPIO;PUNT_LENGUAJE;PUNT_MATEMATICAS;PUNT_C_SOCIALES;PUNT_FILOSOFIA;PUNT_BIOLOGIA;PUNT_QUIMICA;PUNT_FISICA;PUNT_INGLES;DESEMP_INGLES;COLE_CODIGO_COLEGIO_FK
SABER1120121008171;F;19573;PUERTO TEJADA;35;43;42;36;37;38;29;26;A-;92965
SABER1120121008172;F;76520;PALMIRA;41;46;42;37;34;44;44;46;A1;92973
SABER1120121008173;M;76520;PALMIRA;26;43;44;33;20;38;17;20;A-;92981
SABER1120121008174;M;76520;PALMIRA;50;49;40;30;40;45;37;40;A-;93062
SABER1120121008175;M;76520;PALMIRA;31;40;44;43;51;36;39;26;A-;93088
SABER1120121008176;F;76520;PALMIRA;27;43;47;30;26;42;40;29;A-;93096
SABER1120121008177;F;19573;PUERTO TEJADA;50;37;48;36;49;44;33;31;A-;93104
SABER1120121008178;F;76520;PALMIRA;59;40;36;32;46;41;51;43;A-;93112
SABER1120121008179;F;76520;PALMIRA;50;33;46;36;42;45;43;35;A-;93138
SABER1120121008180;F;76520;PALMIRA;39;34;28;36;42;32;40;31;A-;93146
SABER1120121008181;M;76520;PALMIRA;48;33;40;18;37;38;18;39;A-;93153
SABER1120121008182;M;76520;PALMIRA;41;46;28;30;45;42;52;33;A-;93161
SABER1120121008183;F;19573;PUERTO TEJADA;32;33;33;38;37;48;33;43;A1;93179
SABER1120121008184;M;76520;PALMIRA;50;44;49;37;53;42;44;42;A-;93203
SABER1120121008185;F;76520;PALMIRA;61;46;44;48;39;45;49;39;A-;93211
SABER1120121008186;M;76520;PALMIRA;50;37;44;34;42;47;50;40;A-;93237
SABER1120121008187;F;76520;PALMIRA;54;49;54;43;42;52;46;37;A-;93260
SABER1120121008188;M;76520;PALMIRA;39;41;42;39;36;35;32;43;A-;99994
SABER1120121008189;F;76520;PALMIRA;52;43;40;30;40;42;52;42;A-;100008
SABER1120121008190;M;76520;PALMIRA;48;49;41;55;42;42;33;33;A-;100032
SABER1120121008191;M;76520;PALMIRA;38;43;40;33;47;38;37;31;A-;100040
SABER1120121008192;M;76520;PALMIRA;35;37;44;31;42;29;36;29;A-;100057
SABER1120121008193;M;76520;PALMIRA;52;46;40;32;48;38;29;35;A-;100065
SABER1120121008194;M;76520;PALMIRA;48;51;33;45;51;40;52;40;A-;100073
SABER1120121008195;M;76520;PALMIRA;41;30;41;48;39;49;36;29;A-;112565
SABER1120121008196;F;76520;PALMIRA;41;43;33;36;49;44;40;33;A-;112573
SABER1120121008197;M;76520;PALMIRA;54;24;36;12;37;42;33;23;A-;112581
SABER1120121008198;F;19573;PUERTO TEJADA;39;37;36;37;44;38;44;40;A-;112607
SABER1120121008199;M;76520;PALMIRA;36;34;34;36;44;39;32;35;A-;112615
SABER1120121008200;F;76520;PALMIRA;41;25;39;32;36;35;39;42;A-;114363
SABER1120121008201;M;50001;VILLAVICENCIO;50;37;47;37;46;38;57;40;A-;114371
SABER1120121008202;M;76520;PALMIRA;46;34;46;41;51;38;39;33;A-;114405
SABER1120121008203;F;76520;PALMIRA;38;40;36;35;36;39;36;26;A-;114413
SABER1120121008204;M;76520;PALMIRA;52;46;47;29;46;47;42;43;A-;114454
SABER1120121008205;F;76520;PALMIRA;44;46;42;35;44;46;45;39;A-;114462
SABER1120121008206;M;76520;PALMIRA;54;46;50;39;37;42;36;43;A-;106229
SABER1120121008207;M;76111;BUGA;52;41;46;39;46;39;39;35;A-;106252
SABER1120121008208;M;76520;PALMIRA;54;37;44;35;49;37;42;43;A-;106294
SABER1120121008209;F;76520;PALMIRA;35;46;45;22;29;43;36;31;A-;106302
SABER1120121008210;F;76520;PALMIRA;46;30;41;19;45;50;40;39;A-;106310
SABER1120121008211;F;76520;PALMIRA;26;33;50;26;42;37;45;40;A-;106336
SABER1120121008212;M;76520;PALMIRA;41;51;45;19;34;42;24;43;A-;106344
SABER1120121008213;F;76001;CALI;61;49;45;39;53;54;42;53;A2;101899
SABER1120121008214;M;76520;PALMIRA;36;30;31;26;44;35;42;40;A-;101907
SABER1120121008215;M;76111;BUGA;48;40;40;26;39;45;39;33;A-;108118
SABER1120121008216;F;76520;PALMIRA;44;29;38;22;44;41;48;37;A-;108126
SABER1120121008217;F;76520;PALMIRA;19;52;36;34;46;33;39;42;A-;108142
SABER1120121008218;F;76520;PALMIRA;50;49;46;39;51;47;39;31;A-;112680
SABER1120121008219;F;76520;PALMIRA;38;40;38;38;47;40;40;29;A-;112698
SABER1120121008220;M;76520;PALMIRA;35;51;47;37;48;50;42;29;A-;112706
SABER1120121008221;M;76109;BUENAVENTURA;52;49;41;29;36;37;32;37;A-;112714
SABER1120121008222;M;76109;BUENAVENTURA;50;49;46;30;30;35;43;39;A-;112722
SABER1120121008223;M;76001;CALI;52;54;49;26;34;45;33;39;A-;112730
SABER1120121008224;M;76001;CALI;61;37;40;12;55;41;42;39;A-;112748
SABER1120121008225;M;76001;CALI;50;47;48;41;42;50;33;37;A-;112755
SABER1120121008226;M;76001;CALI;66;72;60;60;74;63;81;56;A2;112763
SABER1120121008227;M;76001;CALI;69;62;60;63;69;57;72;75;B1;112771
SABER1120121008228;M;76001;CALI;38;40;47;34;42;44;44;46;A1;112797
SABER1120121008229;F;5001;MEDELLIN;48;33;40;34;30;37;39;40;A-;112805
SABER1120121008230;F;5001;MEDELLIN;52;49;51;48;58;54;52;50;A1;112813
SABER1120121008231;F;5001;MEDELLIN;44;44;36;26;36;46;48;33;A-;112821
SABER1120121008232;F;5001;MEDELLIN;46;49;49;42;39;39;32;35;A-;112847
SABER1120121008233;F;5001;MEDELLIN;57;25;40;41;51;29;44;29;A-;112854
SABER1120121008234;M;5001;MEDELLIN;54;51;47;47;42;53;54;43;A-;112896
SABER1120121008235;F;5001;MEDELLIN;50;37;33;35;39;41;45;35;A-;112904
SABER1120121008236;F;5001;MEDELLIN;50;30;40;26;39;43;39;37;A-;112912
SABER1120121008237;M;5001;MEDELLIN;38;34;44;42;46;41;39;40;A-;112920
SABER1120121008238;F;5001;MEDELLIN;52;43;44;41;46;45;32;37;A-;92403
SABER1120121008239;M;5001;MEDELLIN;52;47;42;47;39;55;39;43;A-;92411
SABER1120121008240;M;5001;MEDELLIN;46;43;50;36;44;41;32;31;A-;92437
SABER1120121008241;M;5001;MEDELLIN;44;40;40;29;39;37;36;33;A-;92452
SABER1120121008242;M;5001;MEDELLIN;38;29;36;38;34;40;49;42;A-;61390
SABER1120121008243;M;5001;MEDELLIN;50;49;50;43;53;47;44;35;A-;61416
SABER1120121008244;F;5001;MEDELLIN;41;37;48;35;39;46;42;43;A-;61424
SABER1120121008245;F;5001;MEDELLIN;44;30;28;42;42;39;23;42;A-;61440
SABER1120121008246;F;5001;MEDELLIN;48;43;45;37;39;37;23;35;A-;61473
SABER1120121008247;F;5001;MEDELLIN;39;49;44;42;39;48;45;35;A-;61507
SABER1120121008248;F;5001;MEDELLIN;50;43;31;40;33;35;39;39;A-;61556
SABER1120121008249;M;5001;MEDELLIN;52;37;36;38;40;23;40;52;A1;61564
SABER1120121008250;M;5001;MEDELLIN;32;29;38;36;39;45;36;53;A2;61572
SABER1120121008251;M;5001;MEDELLIN;44;49;38;29;36;41;28;39;A-;61580
SABER1120121008252;F;5001;MEDELLIN;35;46;54;54;56;53;48;37;A-;61614
SABER1120121008253;F;5001;MEDELLIN;41;41;31;32;51;35;36;35;A-;61630
SABER1120121008254;M;5001;MEDELLIN;59;47;48;36;42;43;44;48;A1;61648
SABER1120121008255;F;5001;MEDELLIN;41;37;44;37;49;41;32;43;A-;61655
SABER1120121008256;F;5001;MEDELLIN;46;46;51;34;44;41;32;39;A-;61663
SABER1120121008257;F;5001;MEDELLIN;38;37;40;41;30;45;33;33;A-;68056
SABER1120121008258;F;5001;MEDELLIN;38;43;46;29;46;37;47;43;A1;68064
SABER1120121008259;M;5001;MEDELLIN;50;43;56;47;46;28;16;40;A-;68072
SABER1120121008260;M;5001;MEDELLIN;46;51;42;37;48;49;39;68;B1;68080
SABER1120121008261;M;5001;MEDELLIN;38;40;31;44;49;43;42;31;A-;72694
SABER1120121008262;F;5001;MEDELLIN;50;47;46;43;53;45;39;40;A-;72702
SABER1120121008263;F;5001;MEDELLIN;56;34;40;36;44;37;36;42;A-;72710
SABER1120121008264;M;5001;MEDELLIN;48;46;46;36;49;42;57;37;A-;72736
SABER1120121008265;F;5001;MEDELLIN;52;40;52;36;42;41;32;39;A-;72751
SABER1120121008266;F;23001;MONTERIA;41;37;36;36;21;35;39;43;A-;100081
SABER1120121008267;M;11001;BOGOTÁ D.C.;46;46;36;41;39;45;47;43;A-;95182
SABER1120121008268;M;11001;BOGOTÁ D.C.;44;44;42;23;37;40;40;39;A-;113704
SABER1120121008269;F;11001;BOGOTÁ D.C.;52;51;44;36;42;45;46;39;A-;113720
SABER1120121008270;M;11001;BOGOTÁ D.C.;46;41;34;23;26;42;46;43;A1;113738
SABER1120121008271;F;11001;BOGOTÁ D.C.;52;43;45;36;51;54;36;47;A1;113746
SABER1120121008272;F;11001;BOGOTÁ D.C.;44;49;38;36;33;35;47;31;A-;113795
SABER1120121008273;M;11001;BOGOTÁ D.C.;31;40;28;18;37;40;39;37;A-;113803
SABER1120121008274;M;11001;BOGOTÁ D.C.;48;49;40;38;49;38;40;46;A1;113837
SABER1120121008275;M;11001;BOGOTÁ D.C.;52;49;48;30;40;50;43;39;A-;113845
SABER1120121008276;F;11001;BOGOTÁ D.C.;59;49;49;34;42;37;32;48;A1;113860
SABER1120121008277;M;11001;BOGOTÁ D.C.;46;37;42;32;42;44;39;29;A-;93336
SABER1120121008278;M;11001;BOGOTÁ D.C.;46;49;46;29;48;44;39;42;A-;115766
SABER1120121008279;F;11001;BOGOTÁ D.C.;41;37;36;30;45;38;37;35;A-;115782
SABER1120121008280;M;11001;BOGOTÁ D.C.;39;44;39;37;42;30;29;31;A-;115816
SABER1120121008281;M;11001;BOGOTÁ D.C.;46;37;42;39;42;37;24;33;A-;115824
SABER1120121008282;F;11001;BOGOTÁ D.C.;46;41;39;30;54;47;37;40;A-;95232
SABER1120121008283;M;11001;BOGOTÁ D.C.;41;37;41;26;39;44;39;33;A-;95265
SABER1120121008284;M;11001;BOGOTÁ D.C.;56;49;48;41;48;44;39;52;A1;108167
SABER1120121008285;M;11001;BOGOTÁ D.C.;41;44;42;36;45;40;17;35;A-;108225
SABER1120121008286;M;11001;BOGOTÁ D.C.;44;51;45;36;47;44;46;45;A1;108233
SABER1120121008287;F;11001;BOGOTÁ D.C.;50;40;44;32;53;43;32;43;A-;108241
SABER1120121008288;M;11001;BOGOTÁ D.C.;39;47;53;35;51;51;39;43;A-;108258
SABER1120121008289;M;11001;BOGOTÁ D.C.;44;33;34;32;37;38;42;43;A1;108274
SABER1120121008290;M;11001;BOGOTÁ D.C.;48;46;36;34;26;47;33;35;A-;108316
SABER1120121008291;F;11001;BOGOTÁ D.C.;39;25;46;37;42;42;39;35;A-;108332
SABER1120121008292;F;11001;BOGOTÁ D.C.;56;55;49;48;42;56;47;68;B1;108357
SABER1120121008293;M;11001;BOGOTÁ D.C.;46;40;42;41;34;44;36;42;A-;108373
SABER1120121008294;M;11001;BOGOTÁ D.C.;46;55;46;55;58;52;60;43;A-;95190
SABER1120121008295;M;11001;BOGOTÁ D.C.;52;54;42;36;49;40;60;31;A-;95216
SABER1120121008296;F;11001;BOGOTÁ D.C.;41;51;40;38;42;44;29;33;A-;95224
SABER1120121008297;F;11001;BOGOTÁ D.C.;50;46;42;34;39;40;44;37;A-;101923
SABER1120121008298;M;11001;BOGOTÁ D.C.;46;33;36;41;37;42;24;37;A-;101956
SABER1120121008299;M;11001;BOGOTÁ D.C.;39;47;31;33;40;42;37;29;A-;101972
SABER1120121008300;M;11001;BOGOTÁ D.C.;44;49;34;39;39;54;29;43;A-;101980
SABER1120121008301;F;11001;BOGOTÁ D.C.;32;46;38;22;37;30;33;43;A-;101998
SABER1120121008302;F;11001;BOGOTÁ D.C.;50;40;40;39;39;42;29;33;A-;102004
SABER1120121008303;F;11001;BOGOTÁ D.C.;59;43;52;34;44;44;39;26;A-;102012
SABER1120121008304;M;11001;BOGOTÁ D.C.;44;46;42;38;40;47;43;40;A-;102020
SABER1120121008305;F;11001;BOGOTÁ D.C.;59;41;44;48;51;42;37;37;A-;102038
SABER1120121008306;M;11001;BOGOTÁ D.C.;48;44;34;39;51;42;42;37;A-;94235
SABER1120121008307;M;11001;BOGOTÁ D.C.;48;54;38;41;42;45;49;48;A1;94250
SABER1120121008308;M;11001;BOGOTÁ D.C.;50;59;38;50;44;54;50;45;A1;106575
SABER1120121008309;M;11001;BOGOTÁ D.C.;59;75;57;50;58;37;42;80;B1;106583
SABER1120121008310;M;11001;BOGOTÁ D.C.;46;51;42;41;42;44;33;39;A-;106591
SABER1120121008311;M;11001;BOGOTÁ D.C.;44;37;47;12;44;50;42;33;A-;106609
SABER1120121008312;F;11001;BOGOTÁ D.C.;41;40;45;41;51;47;50;43;A1;106617
SABER1120121008313;F;11001;BOGOTÁ D.C.;48;19;46;31;39;37;44;42;A-;106625
SABER1120121008314;M;11001;BOGOTÁ D.C.;44;41;39;40;44;41;39;37;A-;106658
SABER1120121008315;M;11001;BOGOTÁ D.C.;46;40;38;36;39;49;39;31;A-;106674
SABER1120121008316;F;11001;BOGOTÁ D.C.;41;46;38;34;44;43;42;39;A-;112938
SABER1120121008317;M;11001;BOGOTÁ D.C.;44;57;48;43;42;47;43;33;A-;112979
SABER1120121008318;F;11001;BOGOTÁ D.C.;44;37;45;34;33;32;44;42;A-;112995
SABER1120121008319;M;11001;BOGOTÁ D.C.;44;43;44;43;56;45;37;43;A-;113019
SABER1120121008320;F;11001;BOGOTÁ D.C.;35;46;36;36;42;42;40;31;A-;113027
SABER1120121008321;M;11001;BOGOTÁ D.C.;44;52;39;37;48;58;44;42;A-;108555
SABER1120121008322;M;76111;BUGA;39;30;41;29;44;41;39;37;A-;108571
SABER1120121008323;;11001;BOGOTÁ D.C.;56;55;51;37;51;50;45;47;A1;114827
SABER1120121008324;F;11001;BOGOTÁ D.C.;50;46;45;43;40;32;37;40;A-;114835
SABER1120121008325;M;11001;BOGOTÁ D.C.;46;44;48;37;44;45;48;43;A-;114843
SABER1120121008326;F;11001;BOGOTÁ D.C.;41;46;36;32;42;38;36;42;A-;114884
SABER1120121008327;F;11001;BOGOTÁ D.C.;46;49;47;36;36;41;32;43;A1;72801
SABER1120121008328;M;11001;BOGOTÁ D.C.;46;51;40;34;36;41;44;45;A1;72819
SABER1120121008329;F;11001;BOGOTÁ D.C.;35;43;38;37;44;45;36;35;A-;72827
SABER1120121008330;F;11001;BOGOTÁ D.C.;57;49;58;37;53;49;52;42;A-;72835
SABER1120121008331;F;41551;PITALITO;44;18;46;40;42;46;45;29;A-;90266
SABER1120121008332;F;11001;BOGOTÁ D.C.;46;29;40;38;45;38;46;35;A-;90290
SABER1120121008333;F;11001;BOGOTÁ D.C.;57;40;42;35;44;50;48;37;A-;90365
SABER1120121008334;F;11001;BOGOTÁ D.C.;50;54;54;50;53;45;50;43;A-;90407
SABER1120121008335;F;68001;BUCARAMANGA;57;57;50;40;53;45;48;45;A1;60202
SABER1120121008336;F;68001;BUCARAMANGA;48;52;49;29;49;35;44;42;A-;60228
SABER1120121008337;F;68001;BUCARAMANGA;44;49;40;26;44;48;42;40;A-;60236
SABER1120121008338;M;68755;SOCORRO;46;57;33;29;42;50;42;26;A-;74187
SABER1120121008339;M;11001;BOGOTÁ D.C.;50;51;52;50;55;58;59;43;A1;74195
SABER1120121008340;M;25290;FUSAGASUGA;56;66;51;44;46;50;45;45;A1;95315
SABER1120121008341;M;25290;FUSAGASUGA;52;46;51;43;51;55;49;56;A2;95323
SABER1120121008342;M;52835;TUMACO;44;43;36;27;30;38;24;31;A-;95331
SABER1120121008343;F;52835;TUMACO;44;29;42;36;30;38;40;37;A-;95349
SABER1120121008344;F;52835;TUMACO;50;30;42;41;36;41;36;33;A-;95356
SABER1120121008345;M;52835;TUMACO;48;49;38;47;46;41;28;39;A-;95364
SABER1120121008346;M;52835;TUMACO;41;43;33;31;42;41;44;39;A-;95380
SABER1120121008347;M;52001;PASTO;41;54;38;29;36;46;42;40;A-;95398
SABER1120121008348;F;52835;TUMACO;61;54;46;52;46;48;45;42;A-;95414
SABER1120121008349;M;52835;TUMACO;46;25;36;39;30;37;44;33;A-;95422
SABER1120121008350;F;52835;TUMACO;35;43;40;37;42;40;29;29;A-;95430
SABER1120121008351;F;52835;TUMACO;48;37;41;32;46;36;39;35;A-;95448
SABER1120121008352;M;52001;PASTO;48;30;39;26;39;49;47;37;A-;95455
SABER1120121008353;F;54001;CUCUTA;39;54;31;26;42;36;25;33;A-;95463
SABER1120121008354;M;54001;CUCUTA;38;33;50;36;40;40;49;43;A-;95471
SABER1120121008355;M;54001;CUCUTA;41;37;40;29;42;40;47;35;A-;95489
SABER1120121008356;M;54001;CUCUTA;48;37;34;39;44;33;36;31;A-;95497
SABER1120121008357;F;54001;CUCUTA;46;33;40;34;44;44;39;37;A-;95539
SABER1120121008358;M;54001;CUCUTA;52;54;56;53;53;60;47;63;B1;95588
SABER1120121008359;M;54001;CUCUTA;46;29;42;41;48;33;49;51;A1;95596
SABER1120121008360;M;54001;CUCUTA;38;49;48;41;36;37;39;35;A-;95604
SABER1120121008361;M;54001;CUCUTA;44;37;42;39;42;45;32;33;A-;95620
SABER1120121008362;M;54001;CUCUTA;46;33;42;37;39;38;36;39;A-;115642
SABER1120121008363;M;54001;CUCUTA;50;46;50;36;49;47;37;40;A-;115964
SABER1120121008364;F;66001;PEREIRA;50;57;49;41;30;55;49;48;A1;102103
SABER1120121008365;F;66001;PEREIRA;52;43;47;40;42;48;32;35;A-;102129
SABER1120121008366;F;66001;PEREIRA;63;46;49;52;51;59;43;52;A1;102194
SABER1120121008367;F;63001;ARMENIA;44;49;31;19;40;35;49;37;A-;102244
SABER1120121008368;F;63001;ARMENIA;52;51;49;52;56;39;45;39;A-;102285
SABER1120121008369;M;63001;ARMENIA;50;46;47;40;44;46;48;43;A-;102293
SABER1120121008370;F;68679;SAN GIL;52;37;44;38;42;48;46;40;A-;102301
SABER1120121008371;M;5088;BELLO;46;19;44;31;42;39;32;50;A1;102319
SABER1120121008372;F;5001;MEDELLIN;41;25;40;17;33;35;28;75;B1;79160
SABER1120121008373;M;5001;MEDELLIN;59;49;42;46;49;43;32;37;A-;79178
SABER1120121008374;M;5001;MEDELLIN;48;33;34;32;24;21;16;37;A-;79186
SABER1120121008375;F;5001;MEDELLIN;41;34;33;26;39;35;32;39;A-;79194
SABER1120121008376;F;5001;MEDELLIN;54;43;45;41;46;45;44;39;A-;88807
SABER1120121008377;F;5001;MEDELLIN;46;43;34;34;39;41;36;39;A-;88823
SABER1120121008378;F;5001;MEDELLIN;41;34;44;32;29;41;42;26;A-;88831
SABER1120121008379;F;5001;MEDELLIN;46;40;40;29;39;35;42;45;A1;88849
SABER1120121008380;M;5001;MEDELLIN;54;54;47;44;53;46;42;29;A-;88856
SABER1120121008381;F;5001;MEDELLIN;50;43;42;34;44;47;39;45;A1;88864
SABER1120121008382;F;5001;MEDELLIN;48;46;42;37;33;39;39;17;A-;88880
SABER1120121008383;M;5001;MEDELLIN;38;40;46;36;39;43;36;48;A1;114918
SABER1120121008384;F;5001;MEDELLIN;36;34;39;26;33;32;36;35;A-;114959
SABER1120121008385;F;5001;MEDELLIN;35;43;40;31;33;43;36;26;A-;106708
SABER1120121008386;F;5001;MEDELLIN;39;40;51;39;33;39;32;35;A-;106716
SABER1120121008387;F;5001;MEDELLIN;56;52;49;40;44;41;39;39;A-;106724
SABER1120121008388;F;5001;MEDELLIN;41;46;42;34;21;25;42;37;A-;106732
SABER1120121008389;F;5001;MEDELLIN;50;44;41;31;44;47;29;39;A-;106740
SABER1120121008390;M;5001;MEDELLIN;50;43;40;34;42;39;29;20;A-;106757
SABER1120121008391;F;5001;MEDELLIN;48;43;46;40;39;37;16;35;A-;102327
SABER1120121008392;F;5001;MEDELLIN;46;29;38;32;39;45;32;23;A-;102350
SABER1120121008393;F;5001;MEDELLIN;52;49;53;39;36;43;36;46;A1;102368
SABER1120121008394;F;5001;MEDELLIN;38;25;33;34;53;39;39;31;A-;108589
SABER1120121008395;F;5001;MEDELLIN;48;37;39;40;42;39;16;40;A-;108597
SABER1120121008396;F;5001;MEDELLIN;41;30;44;11;18;46;54;42;A-;108605
SABER1120121008397;M;5001;MEDELLIN;48;54;44;35;33;43;28;42;A-;108654
SABER1120121008398;F;5001;MEDELLIN;46;33;40;26;33;45;39;35;A-;108662
SABER1120121008399;F;5001;MEDELLIN;44;43;42;32;44;51;42;33;A-;108688
SABER1120121008400;F;5001;MEDELLIN;38;37;36;36;39;41;32;37;A-;108704
SABER1120121008401;F;5001;MEDELLIN;44;29;38;32;36;35;48;26;A-;108720
SABER1120121008402;F;5001;MEDELLIN;41;43;38;34;39;35;44;33;A-;108738
SABER1120121008403;F;5001;MEDELLIN;59;40;52;48;51;43;44;43;A-;108753
SABER1120121008404;F;5001;MEDELLIN;52;34;47;34;42;41;50;33;A-;74237
SABER1120121008405;F;5001;MEDELLIN;52;30;39;31;33;43;47;39;A-;74245
SABER1120121008406;F;5001;MEDELLIN;46;37;42;41;46;41;55;31;A-;74260
SABER1120121008407;M;5001;MEDELLIN;41;37;39;35;36;35;45;33;A-;74294
SABER1120121008408;F;5001;MEDELLIN;38;46;40;35;39;39;36;29;A-;74302
SABER1120121008409;M;5001;MEDELLIN;50;43;50;43;53;50;47;35;A-;74310
SABER1120121008410;F;5001;MEDELLIN;48;37;36;44;24;41;39;29;A-;74328
SABER1120121008411;M;5001;MEDELLIN;35;40;33;26;42;41;44;40;A-;80739
SABER1120121008412;F;5001;MEDELLIN;50;49;51;47;42;41;39;29;A-;80796
SABER1120121008413;M;5001;MEDELLIN;41;41;28;31;30;43;39;43;A-;80812
SABER1120121008414;F;5001;MEDELLIN;44;43;45;46;36;45;39;33;A-;80879
SABER1120121008415;F;5001;MEDELLIN;46;46;38;26;36;35;36;33;A-;80903
SABER1120121008416;F;5001;MEDELLIN;31;34;38;32;39;37;36;33;A-;80911
SABER1120121008417;M;5001;MEDELLIN;44;40;42;26;39;43;29;37;A-;80945
SABER1120121008418;M;5001;MEDELLIN;31;43;33;29;21;39;36;20;A-;116186
SABER1120121008419;F;5001;MEDELLIN;38;43;38;42;46;39;28;33;A-;116236
SABER1120121008420;F;5001;MEDELLIN;54;43;42;39;49;43;36;43;A-;116434
SABER1120121008421;F;5001;MEDELLIN;41;30;45;29;36;35;36;35;A-;116483
SABER1120121008422;F;5001;MEDELLIN;39;43;49;37;36;37;48;33;A-;116558
SABER1120121008423;F;5001;MEDELLIN;46;40;36;37;39;46;36;33;A-;116723
SABER1120121008424;F;5001;MEDELLIN;44;43;46;29;36;41;39;31;A-;117101
SABER1120121008425;F;5001;MEDELLIN;39;40;38;29;46;39;39;20;A-;117382
SABER1120121008426;M;5001;MEDELLIN;41;46;38;34;46;39;42;33;A-;117598
SABER1120121008427;M;5001;MEDELLIN;36;34;28;22;36;32;23;37;A-;117648
SABER1120121008428;F;5001;MEDELLIN;44;33;38;40;36;37;39;40;A-;117432
SABER1120121008429;F;5001;MEDELLIN;41;41;28;32;33;43;45;43;A-;117440
SABER1120121008430;M;5001;MEDELLIN;48;29;46;35;46;43;32;26;A-;117457
SABER1120121008431;M;5001;MEDELLIN;46;49;40;29;44;39;42;33;A-;117671
SABER1120121008432;M;5001;MEDELLIN;54;40;40;31;44;37;32;40;A-;117689
SABER1120121008433;M;5001;MEDELLIN;46;46;42;40;53;46;36;51;A1;117697
SABER1120121008434;F;5001;MEDELLIN;41;54;42;31;33;41;36;31;A-;117705
SABER1120121008435;M;5001;MEDELLIN;41;41;41;22;42;37;32;43;A1;117770
SABER1120121008436;F;5001;MEDELLIN;52;41;41;29;36;45;42;43;A-;117796
SABER1120121008437;M;5001;MEDELLIN;57;37;50;40;42;45;45;46;A1;117820
SABER1120121008438;F;5001;MEDELLIN;46;46;40;36;39;29;44;31;A-;117838
SABER1120121008439;M;5001;MEDELLIN;48;40;38;32;49;45;32;40;A-;117879
SABER1120121008440;F;5001;MEDELLIN;44;49;0;43;53;49;32;40;A-;117887
SABER1120121008441;M;5001;MEDELLIN;52;41;31;29;44;45;39;40;A-;88906
SABER1120121008442;F;5001;MEDELLIN;44;37;41;35;33;39;54;43;A1;88922
SABER1120121008443;F;5001;MEDELLIN;41;44;41;22;42;45;42;33;A-;88930
SABER1120121008444;F;5001;MEDELLIN;52;33;52;42;44;37;28;35;A-;88948
SABER1120121008445;M;5001;MEDELLIN;41;33;40;26;53;39;24;31;A-;88963
SABER1120121008446;M;5001;MEDELLIN;41;37;36;40;42;41;36;45;A1;88997
SABER1120121008447;F;5001;MEDELLIN;41;37;45;39;33;35;39;35;A-;89003
SABER1120121008448;M;5001;MEDELLIN;59;62;52;43;51;43;42;48;A1;89011
SABER1120121008449;F;5001;MEDELLIN;48;29;40;38;47;42;33;35;A-;89029
SABER1120121008450;M;5001;MEDELLIN;41;46;36;39;39;50;32;43;A-;89037
SABER1120121008451;M;5001;MEDELLIN;44;44;36;35;24;45;45;31;A-;89078
SABER1120121008452;F;5001;MEDELLIN;52;47;48;35;53;45;45;43;A1;89086
SABER1120121008453;M;5001;MEDELLIN;44;37;40;32;46;43;36;42;A-;89094
SABER1120121008454;M;5001;MEDELLIN;41;37;24;31;39;41;42;37;A-;89102
SABER1120121008455;M;5001;MEDELLIN;48;52;60;45;49;52;57;53;A2;89110
SABER1120121008456;F;5001;MEDELLIN;44;37;24;32;18;32;51;40;A-;89128
SABER1120121008457;F;5001;MEDELLIN;44;43;49;29;39;37;42;43;A1;89136
SABER1120121008458;F;5001;MEDELLIN;50;49;49;40;46;45;42;37;A-;89144
SABER1120121008459;F;5001;MEDELLIN;36;41;36;33;42;40;46;35;A-;89169
SABER1120121008460;F;5001;MEDELLIN;56;34;44;29;44;32;24;43;A-;89185
SABER1120121008461;M;5001;MEDELLIN;50;49;46;43;46;52;57;56;A2;89201
SABER1120121008462;M;5001;MEDELLIN;44;18;42;23;45;40;33;29;A-;114470
SABER1120121008463;M;5001;MEDELLIN;50;25;34;48;39;41;50;39;A-;114496
SABER1120121008464;M;5001;MEDELLIN;50;46;38;58;55;47;52;45;A1;114512
SABER1120121008465;F;5001;MEDELLIN;41;9;36;26;49;45;36;31;A-;114538
SABER1120121008466;M;5001;MEDELLIN;50;46;45;46;46;52;44;35;A-;114546
SABER1120121008467;F;5001;MEDELLIN;48;40;42;36;46;43;39;35;A-;108761
SABER1120121008468;M;5001;MEDELLIN;44;49;51;34;39;42;42;35;A-;108779
SABER1120121008469;M;5001;MEDELLIN;35;43;44;27;40;40;33;37;A-;108811
SABER1120121008470;M;5001;MEDELLIN;39;25;36;17;46;39;39;37;A-;108837
SABER1120121008471;M;5001;MEDELLIN;41;51;51;22;42;41;51;42;A-;108845
SABER1120121008472;F;5001;MEDELLIN;54;30;44;38;51;38;40;33;A-;60392
SABER1120121008473;M;5001;MEDELLIN;38;43;40;30;37;29;46;39;A-;60418
SABER1120121008474;F;5001;MEDELLIN;41;18;34;41;33;35;36;11;A-;60426
SABER1120121008475;M;5001;MEDELLIN;50;46;45;36;49;50;33;35;A-;60475
SABER1120121008476;M;5001;MEDELLIN;48;47;42;40;42;41;48;52;A1;60483
SABER1120121008477;M;5001;MEDELLIN;46;37;41;29;36;41;42;35;A-;75499
SABER1120121008478;F;5001;MEDELLIN;50;37;40;30;40;42;40;35;A-;75507
